ID_Spec,Catalogue Number,AccName,TreeName2,Order,Family,Genus,SO,EF,SpeLab,DepthMin,DepthMax,DepthAve,IUCN,DepthCat3,Mov
'Raja fuliginea USNMRAD 163367.jpg',USNM 163367 ,Rajella fuliginea ,Rajella_fuliginea,Rajiformes,Rajidae,Rajella,Bat,Extant,Rajel_ful,731,1280,1005.5,LC,Deep,Undul
'Raja garricki USNMRAD 110894-001.jpg',USNM RAD 110894 ,Dipturus garricki ,Dipturus_garricki,Rajiformes,Rajidae,Dipturus,Bat,Extant,Diptu_gar,275,476,375.5,LC,Deep,Undul
'Raja mollis USNMRAD 124841-001.jpg',USNM RAD 124841 ,Malacoraja spinacidermis ,Malacoraja_spinacidermis,Rajiformes,Rajidae,Malacoraja,Bat,Extant,Malac_spi,450,1570,1010,LC,Deep,Undul
'Raja montereyensis USNMRAD 75806.jpg',USNM 75806 ,Caliraja stellulata,Raja_stellulata,Rajiformes,Rajidae,Raja,Bat,Extant,Calir_ste,18,982,500,LC,Deep,Undul
'Raja platana USNMRAD 55578.jpg',USNM 55578 ,Atlantoraja platana ,Atlantoraja_platana,Rajiformes,Arhynchobatidae,Atlantoraja,Bat,Extant,Atlan_pla,19,181,100,EN,Shelf,Undul
'Raja purpuriventralis USNMRAD 196440.jpg',USNM 196440 ,Rajella purpuriventralis ,Rajella_purpuriventralis,Rajiformes,Rajidae,Rajella,Bat,Extant,Rajel_pur,922,1260,1091,LC,Deep,Undul
'Raja rhina CAS-ICH 26853-A.jpg',CAS-ICH 26853,Caliraja rhina ,Raja_rhina,Rajiformes,Rajidae,Caliraja,Bat,Extant,Calir_rhi,9,1069,539,LC,Deep,Undul
'Raja rhina CAS-ICH 26853-B.jpg',CAS-ICH 26853,Caliraja rhina ,Raja_rhina,Rajiformes,Rajidae,Caliraja,Bat,Extant,Calir_rhi,9,1069,539,LC,Deep,Undul
'Raja rhina CAS-ICH 26853-C.jpg',CAS-ICH 26853,Caliraja rhina ,Raja_rhina,Rajiformes,Rajidae,Caliraja,Bat,Extant,Calir_rhi,9,1069,539,LC,Deep,Undul
'Raja teevani USNMRAD 109926-001.jpg',USNM RAD 109926 ,Dipturus teevani ,Dipturus_teevani,Rajiformes,Rajidae,Dipturus,Bat,Extant,Diptu_tee,310,1900,1105,LC,Deep,Undul
'Rajella caudaspinosa BMNH 1935525960-A.jpg',NHMUK ZOO 1935.5.2.59-60,Rajella caudaspinosa ,Rajella_caudaspinosa,Rajiformes,Rajidae,Rajella,Bat,Extant,Rajel_cau,102,1098,600,LC,Deep,Undul
'Rajella caudaspinosa BMNH 1935525960-B.jpg',NHMUK ZOO 1935.5.2.59-60,Rajella caudaspinosa ,Rajella_caudaspinosa,Rajiformes,Rajidae,Rajella,Bat,Extant,Rajel_cau,102,1098,600,LC,Deep,Undul
'Rajella caudaspinosa BMNH 19355264.jpg',NHMUK ZOO 1935.5.2.64,Rajella caudaspinosa ,Rajella_caudaspinosa,Rajiformes,Rajidae,Rajella,Bat,Extant,Rajel_cau,102,1098,600,LC,Deep,Undul
'Rajella fuliginea USNMRAD 222289.jpg',USNM 222289 ,Rajella fuliginea ,Rajella_fuliginea,Rajiformes,Rajidae,Rajella,Bat,Extant,Rajel_ful,731,1280,1005.5,LC,Deep,Undul
'Rajella purpuriventralis USNMRAD 267764.jpg',USNM 267764 ,Rajella purpuriventralis ,Rajella_purpuriventralis,Rajiformes,Rajidae,Rajella,Bat,Extant,Rajel_pur,922,1260,1091,LC,Deep,Undul
'Rhina ancylostoma USNMRAD 110886-001.jpg',USNM RAD 110886 ,Rhina ancylostomus ,Rhina_ancylostoma,Rhinopristiformes,Rhinidae,Rhina,Bat,Extant,Rhina_anc,3,90,46.5,CR,Reef,AxUnd
'Rhinobatos annulatus MNHN 1989-0553.jpg',MNHN-IC-1989-0553 ,Acroteriobatus annulatus ,Acroteriobatus_annulatus,Rhinopristiformes,Rhinobatidae,Acroteriobatos,Bat,Extant,Acrot_ann,1,75,38,VU,Shelf,AxUnd
'Rhinobatos glaucostigmus USNMRAD 109874001.jpg',USNM RAD 109874 ,Pseudobatos glaucostigma ,Rhinobatos_glaucostigma,Rhinopristiformes,Rhinobatidae,Pseudobatos,Bat,Extant,Psbat_gla,1,112,56.5,VU,Shelf,AxUnd
'Rhinobatos granulatus BMNH 19265265.jpg',NHMUK ZOO 1926.5.26.5,Glaucostegus granulatus ,Glaucostegus_granulatus,Rhinopristiformes,Glaucostegidae,Glaucostegus,Bat,Extant,Glauc_gra,1,119,60,CR,Shelf,AxUnd
'Rhinobatos leucospilus BMNH 19207231.jpg',NHMUK ZOO 1920.7.23.1,Acroteriobatus leucospilus ,Acroteriobatus_leucospilus,Rhinopristiformes,Rhinobatidae,Acroteriobatos,Bat,Extant,Acrot_leu,0,100,50,EN,Shelf,AxUnd
