AccName,TreeName2,Order,OrderFos,Family,Genus,SO,EF,SpeLab,DepthCat3,Mov
Titanonarke molini ,Titanonarke_molini,EoTorp,Torpediniformes,,Titanonarke,Bat,Fossil,Titan_mol,Reef,AxUnd
Tlalocbatos_applegatei,Tlalocbatus,CrRhin,Rhinopristiformes,,Tlalocbatos,Bat,Fossil,Tlalo_app,Reef,AxUnd
Torpedo fuscomaculata ,Torpedo_fuscomaculata,Torpediniformes,Torpediniformes,Torpedinidae,Torpedo,Bat,Extant,Torpe_fus,Reef,AxUnd
Torpedo mackayana ,Torpedo_mackayana,Torpediniformes,Torpediniformes,Torpedinidae,Torpedo,Bat,Extant,Torpe_mac,Shelf,AxUnd
Tetronarce nobiliana ,Torpedo_nobiliana,Torpediniformes,Torpediniformes,Torpedinidae,Tetronarce,Bat,Extant,Tetro_nob,Shelf,AxUnd
Torpedo torpedo,Torpedo_torpedo,Torpediniformes,Torpediniformes,Torpedinidae,Torpedo,Bat,Extant,Torpe_tor,Shelf,AxUnd
Urobatis concentricus ,Urobatis_concentricus,Myliobatiformes,Myliobatiformes,Urotrygonidae ,Urobatis,Bat,Extant,Uroba_con,Reef,Undul
Urobatis halleri ,Urobatis_halleri,Myliobatiformes,Myliobatiformes,Urotrygonidae ,Urobatis,Bat,Extant,Uroba_hal,Shelf,Undul
Urobatis jamaicensis ,Urobatis_jamaicensis,Myliobatiformes,Myliobatiformes,Urotrygonidae ,Urobatis,Bat,Extant,Uroba_jam,Reef,Undul
Urobatis maculatus ,Urobatis_maculatus,Myliobatiformes,Myliobatiformes,Urotrygonidae ,Urobatis,Bat,Extant,Uroba_mac,Shelf,Undul
Urolophus aurantiacus ,Urolophus_aurantiacus,Myliobatiformes,Myliobatiformes,Urolophidae,Urolophus,Bat,Extant,Urolo_aur,Shelf,Undul
Urolophus kaianus ,Urolophus_kaianus,Myliobatiformes,Myliobatiformes,Urolophidae,Urolophus,Bat,Extant,Urolo_kai,Deep,Undul
Urotrygon aspidura ,Urotrygon_aspidura,Myliobatiformes,Myliobatiformes,Urotrygonidae ,Urotrygon,Bat,Extant,Urotr_asp,Shelf,Undul
Urotrygon chilensis ,Urotrygon_chilensis,Myliobatiformes,Myliobatiformes,Urotrygonidae ,Urotrygon,Bat,Extant,Urotr_chi,Shelf,Undul
Urotrygon microphthalmum ,Urotrygon_microphthalmum,Myliobatiformes,Myliobatiformes,Urotrygonidae ,Urotrygon,Bat,Extant,Urotr_mic,Shelf,Undul
Urotrygon munda ,Urotrygon_munda,Myliobatiformes,Myliobatiformes,Urotrygonidae ,Urotrygon,Bat,Extant,Urotr_ast,Shelf,Undul
